Label,Dimension 1,Dimension 2,Dimension 3,Size,Emotion
0,-0.15883678,0.02893998,-0.38238594,110,Interest
1,-0.6495081,0.17087479,0.2567232,67,Nostalgia
2,-0.4222399,-0.41873994,-0.13982727,550,Amusement
3,0.19021875,-0.15285312,-0.06250928,58,Confusion
4,0.029458867,0.36263132,-0.5775116,172,Aesthetic Appreciation
5,0.2643527,-0.7791565,-0.27529752,55,Sadness
6,0.3379427,0.21700695,0.6812878,116,Sexual Desire
7,0.03216717,-0.76054573,-0.3810828,7,Sympathy
8,0.55114317,-0.31233275,-0.6226615,119,Fear
9,-0.0207152,0.89469755,-0.17940077,55,Craving
10,0.65333575,-0.30605528,0.23584448,195,Disgust
11,-0.22518353,-0.51996976,-0.78109515,15,Triumph
12,-0.13325353,-0.054015573,-0.65738076,100,Awe
13,0.43658566,-0.25757137,-0.72318006,68,Anxiety
14,-0.78192204,-0.7850454,-0.57901204,73,Adoration
15,-0.11951012,0.03083433,0.90029526,70,Romance
16,-0.4418685,-0.72159255,-0.58640015,50,Joy
17,-0.082291946,-0.2010049,0.38928252,14,Awkwardness
18,0.33638105,-0.44758454,-0.061945092,11,Anger
19,0.7403836,-0.39499947,-0.24342243,63,Horror
20,0.3997099,-0.6179955,-0.24436222,30,Empathic Pain
21,0.027307816,0.2975234,-0.28345692,34,Entrancement
22,0.1592757,-0.33533698,-0.37082762,45,Surprise
23,-0.053768963,0.096258804,0.07966652,38,Boredom
24,-0.07919765,-0.33191985,-0.7801533,25,Excitement
25,-0.35142022,-0.5464104,-0.78083205,2,Pride
26,-0.2626922,-0.40080404,-0.6486538,12,Admiration
27,0.3986502,-0.5383491,-0.6195154,13,Relief
28,-0.12520109,0.49918115,-0.6974571,13,Calmness
29,-0.19928703,-0.15951142,-0.45566392,5,Satisfaction
